date,symbol,price,pe_ratio,to_buy
2023-04-03,MU,59.61,-27.985915492957748,1
2023-04-03,MSTR,29.74,7.625641025641025,1
2023-04-03,ALK,42.09,-37.91891891891892,1
2023-04-03,MGNI,9.28,-12.712328767123289,1
2023-04-03,ASTS,4.83,-7.666666666666667,1
2023-04-03,NRG,33.87,-5.839655172413793,0
2022-01-11,NCLH,22.0,-5.486284289276808,0
2022-01-11,ZETA,8.71,-18.531914893617024,1
2022-01-11,HRB,22.66,-20.6,1
2022-01-11,HIMS,5.77,-38.46666666666667,0
2022-01-11,TMDX,17.56,-38.17391304347826,1
2022-01-11,RCL,81.73,-15.333958724202628,0
2022-01-11,IONQ,14.69,-37.66666666666666,1
2022-01-11,BA,216.02,-30.77207977207977,0
2022-01-11,FTI,6.87,-19.62857142857143,1
