date,symbol,price,evebitda,future_eps,to_buy
2021-02-23,HRB,19.62,-27.48261203336339,-1.41,1
2022-06-15,UBER,22.03,-8.686709960242005,-0.26835,1
2022-06-15,COIN,55.01,-17.450336415594908,-2.47179,1
2023-07-13,CTVA,54.61,24.811810778443117,-0.2404,0
2023-07-13,HRB,32.53,13.495466637339977,-1.1225,1
2024-07-22,CTVA,54.77,21.720906100795755,-0.30302,0
2024-07-22,HRB,57.26,21.23978712249908,-1.2075,1
2022-11-02,COIN,60.71,-21.98596038700124,-2.52449,0
2022-11-02,LUV,36.5,27.98165137614679,-0.069839,0
2022-11-02,PNW,67.29,24.961096024009464,-0.18018,1
2022-11-02,GPS,10.82,28.730666666666668,0.000511,1
2022-11-02,ZETA,8.06,-29.49582562712885,-0.38429,1
2022-11-02,AIV,7.45,15.809951203219446,0.007531,1
2022-11-02,MU,53.45,16.527155172413792,-0.019823,1
2019-12-02,APA,19.54,18.96706090400972,-0.066786,1
2022-09-23,UBER,27.82,-28.42755666375345,-0.17511,1
2022-09-23,COIN,61.88,-11.161437050754078,-2.37683,1
2022-09-23,CTVA,57.92,22.748953642384105,-0.22066,1
2022-09-23,MU,50.1,15.47787356321839,-0.019823,1
2022-09-23,HRB,43.82,23.119234915004974,-1.085,0
2024-07-02,CTVA,52.77,20.977776127320958,-0.30302,0
2024-07-02,HRB,55.1,20.480187975420534,-1.2075,1
2022-09-28,UBER,28.04,-28.627626038178477,-0.17511,1
2022-09-28,COIN,67.31,-12.325623843223166,-2.37683,1
2022-09-28,CTVA,58.38,22.93140507726269,-0.22066,1
2022-09-28,WDC,33.15,18.23365384615385,-0.14725,1
